PID,text,labels
test_id_163,পাছা কবির কে সেফুদার কাছে পাঠানোর ব্যবস্থা করা হোক,Negative
test_id_164,তুই ত ভাল অভিনয় জানছ  এখন আবার বলে আমার আল্লাহ বিচার করবে। জারজের দল,Negative
test_id_165,আপা আরেকটা অডি গাড়ি কবে লইবেন??,Negative
test_id_166,চুদে না চুরে আবার পার্ট চুদাইয়া গুরে||,Negative
test_id_167,কালকে রাতভর বিশেষ কারোও সাথে নিচ তলার দাপ্তরিক কাজ শেষ করেছেন তো,Negative
test_id_168,মাগি তুই মর আগে তখন বুঝবি,Negative
test_id_169,ফেসবুক হ্যাক হওয়া দুঃখে আল্লাহকে মানতে বাধ্য হলেন ।,Negative
test_id_170,তুর জন্য আজকে ফেসবুক ব্যবহার করা যাচ্ছে না,Negative
test_id_171,এখন জনতা লিংক খুঁজবে,Negative
test_id_172,কমেন্টের সোদনে সাফা কবিরের পাছা ৭ ইঞ্চি বড় হয়ে গেছে,Negative
test_id_173,খানকি মাগির কল্লাটা পদ্মাসেতুর জন্য দেয়া হোক চুতমারানি,Negative
test_id_174,যৌন চুলকানি নাউযুবিল্লাহএসব ছবি আপলোড দেওয়ার আগে সানি লিওন আপির অনুমতি নিয়ে আপলোড দিবেন ।,Negative
test_id_175,বাংলার সানি লিওন .,Negative
test_id_176,হেতেরে স্যার জনি সিন্সের হাওলা করতে পারলে মনডা শান্তি পাইতো,Negative
test_id_177,এভাবে কয়দিন কয়েকদিন পর তো আবার সানি লিওন হয়ে যাইবা,Negative
test_id_178,ম্যানেজার চাইলেও কিছু করতে পারবেননা মালিকের বিরুদ্ধে,Negative
test_id_179,কেও অশ্লিল কমেন্ট চুদাবেন্না আমরা পরিস্তিতি নিয়ন্ত্রনে আনার চেস্টা করতেছি।,Negative
test_id_180,তোর মার সাথে খানকির পোলা,Negative
test_id_181,কাফেরদের সমালোচনা করাও আজ দোষ ধরা হয়।। হায়রে মুসলমান।।,Negative
test_id_182,পুন দেগ‌ই চেনা মাগির জি,Negative
test_id_183,হাসিবুল আলম আদর এই মাগী তোমার জান হয় কেমনে?,Negative
test_id_184,জনগনকে বলদ ভাইবেন না। অাপনি লাইভ সো এ কি কথা বলেছেন। অার এটা ত ফেসবুকই,Negative
test_id_185,তরা খানকিরা যা করবি তাই তোদের কাছে ভাল তাইনা মাগিরা,Negative
test_id_186,পেন্টিও পড়েন নাই নাকি!,Negative
test_id_187,জাহেদ খানের মাইরে সুদি মাগির পোলা কারে কি বলিস,Negative
test_id_188,"তুই ত একটা বেশ্যা .তুই এখন          আছত যে,,",Negative
test_id_189,"তর জন্ম কিভাবে হইচে তা কেই দেখে নাই,,, তাহলে আমারা কি ধরে নিব তুই ****",Negative
test_id_190,এত লোকরে সদরঘাটে নিলে আমাকেই বাকি রাখলা ক্যান??,Negative
test_id_191,এই মাগি এই মাগি,Negative
test_id_192,"হারামজাদী কি,,, সে একটা খানকি",Negative
test_id_193,হয়তো প্রথম আলোর ভুলে গেছে তাদের মতো কোনো ব্যশ্যা নটিকে বাংলারর মানুষ পছন্দ করেনা,Negative
test_id_194,আচ্ছা আপনি কার সাথে সেক্স করে কামনা মেটান? নিশ্চয়ই কোন নিজ লিঙ্গের মানুষের সাথে ?,Negative
test_id_195,আজব মাইয়াএকদিন বিকিনি আরেক দিন বোরখা।ভাভা যায় এগ্লা,Negative
test_id_196,তোর কয়ডা লাগে?,Negative
test_id_197,কমেন্টের চোদনে পোস্টদাতা পেগনেন্ট,Negative
test_id_198,কমোন্ডে লাইক শেয়ার করে পাছায় লেগে থাকুন,Negative
test_id_199,মাগির বাচ্চাইন মরিয়া খইজাইতা।,Negative
test_id_200,ইচ্ছা করতেছে মোবাইলটা ভাইব্রেশন মুডে রেখে তুর পাছায় ঢুকিয়ে দিয়ে লম্বা একটা মিসডকল মারি ,Negative
test_id_201,তোর মত খানকির বিশাস করা কছুই জায় আশেনা,Negative
test_id_202,তোমাকে পেলে আমি পা কাদেঁ তুলে শাস্তি দিতাম খানকি মাগী,Negative
test_id_203,হিতিরে হোনদায়ছে খানকি,Negative
test_id_204,তুই কানকিকে আল্লাহ মাফ করবেন না,Negative
test_id_205,শুরুতেই চুষা-চুষি শুরু করে দিছে .,Negative
test_id_206,জাহেদ খান এবর কিঠা আমি তো চিনলাম না ভাই পাজিল জাহেদ খানকি,Negative
test_id_207,"নেংটা নাকি?অফফফফ পেন্টিও পড়োনি,কিংবা ব্রা?উফফফ কি হট তুমি।",Negative
test_id_208,আরে বোকা চোদা হিরোআলম তুইতো ঠিকবাভে কথাবলতে পারছিস না তুই আবার কোনদোনের নায়ক,Negative
test_id_209,ভাইরে পোলাপান এমন চোদা চোদলো আমি কোন দিক দিয়ে চোদবো জায়গা খুঁজে পাই না।,Negative
test_id_210,"জিনিসগুলো ত আরও বড় ছিল,এগুলোর অবনতি হচ্ছে কেন??এগুলো দেখার কেউ নাই।",Negative
test_id_211,মাগিরে পুট্কি মার,Negative
test_id_212,আবাল চুদা ছেরি .,Negative
test_id_213,যে খানকির পোলা এডিট করছে আমি সিউর তুর জন্ম ভারতীয় কনডম দুর্ঘটনায়,Negative
test_id_214,নটি নায়কা বেশামাল উলঙ্গ ।,Negative
test_id_215,কেমনে বিশ্বাস করবে ও একজন বেহেয়া মাগি,Negative
test_id_216,শাওয়াডা অতি স্মার্ট হইতে গিয়া বোকাচোদা হইয়া গেলো আহ!,Negative
test_id_217,বিক্রম সাতার পারে তো? হালায় তো ডুইবা মরবো,Negative
test_id_218,"কাল দেখলাম ল্যাংটা, আজকে হিজাব।",Negative
test_id_219,মাগি হইলো পাছা কবির ওরে ধইরা গুয়া মারমু,Negative
test_id_220,অই নাস্তকি শালী।।তুই যে কথাটা বিলছোস তোরে পাইলে চুদে ভোদা ফাটাইতাম রে মাগি,Negative
test_id_221,পুটকি দিয়া বাশ দিবো মরার পর তোমাকে,Negative
test_id_222,মাদারচোদ জালাই ফেসবুকে ঢুকা য়াই না,Negative
test_id_223,"যা ভেবেছি, যা লিখেছি তাই করেছে মাগি",Negative
test_id_224,সে এ জড়িত এতে কোনো সন্দেহ নাই,Negative
test_id_225,"হায়রে দুধ,তোর এই অবস্থা কেন?",Negative
test_id_226,"ফেসবুকে স্ট্যাটাস দিলে যদি কেউ পেমেন্ট দিত, তাহলে এতদিনে ভাল টাকা পয়সা জমে যাইতো।",Negative
test_id_227,ওরে বাড়া ভুতের মুখে রাম রাম,Negative
test_id_228,জ্যোতির্ময় মালী তুমি কোন ধর্মের অনুসারী।আপনার কতায় বুঝা যার।আপনার গার্ডে দেখি লাগল,Negative
test_id_229,তোরে খুব ভালো লাগতো রে খাংকি মাগি,Negative
test_id_230,সাফা কবির এরে কুওা দিয়া চুদানো উচিত,Negative
test_id_231,বিশ্বে। মানুষ চিনে এই কামাল রেবিশ্বে কয়টা দেশ আছে বলো বালের লেকচার,Negative
test_id_232,সিফাত তোর মারে বইনেরে চ*** মাগির পোলা,Negative
test_id_233,এ মাগি তোরতো জন্মেরই ঠিক নেই।,Negative
test_id_234,অকে য়ামি চুদতে সাই শালি খাংকি,Negative
test_id_235,তোদের মত মাগির কারণে আজ এই বিশ্বের গজল,Negative
test_id_236,বিড়াল কে দিয়ে দুদু খাইয়ে নেন,Negative
test_id_237,দুধ না কদু ?,Negative
test_id_238,মাগিরা এমন ই হয় খনে ক্ষণে রুপ নেয়,Negative
test_id_239,"আমি গালাগালি ভুলে গেছি নয়তো আপনারে আপু খানকি,বেশ্যা,চুতম্রানি,আসোদা,ভক্সসুদ,ভুস্কি মাগী,সিনাল ইত্যাদি বলে গালি দিতাম",Negative
test_id_240,সেক্সি সেক্সি লাগছে।,Negative
test_id_241,হেতে ভাবের চোদনে! হাপ্ প্যান্ট চোদায় ,Negative
test_id_242,কি জানি পাছা কবির এই কমেন্ট গুলো দেখছে কিনা দেখলে তো হার্ট এট্যাকে মরবে!!,Negative
test_id_243,"গরীবের ""মিয়া খলিফা"" আপু  .",Negative
test_id_244,থাকার চেয়ে না থকায় ভাল। __কাপড়,Negative
test_id_245,চুতমারানি বাংলা নববর্ষের দিনেও ইংলিশ চুদাও,Negative
test_id_246,"কাপড় ছাড়াই তো ভাল দেখা যায়, সেখানে আবার বোরকার কি দরকার",Negative
test_id_247,পাছা ঝাপসা ঝাপসা দেখা যাচ্ছে,Negative
test_id_248,পাছা কবির।                   ,Negative
test_id_249,তোমার পিছনে মাল ফেলে দেই??,Negative
test_id_250,সুবর্ণ প্রমি ফেইসবুকে লগ ইন করলেই এসব।কথা বলতে চাই নি তো।এখন আর পারলাম না।,Negative
test_id_251,চোর কি কখনো চুরি কইরা সিকার গেছিলো মাগি তো চোর,Negative
test_id_252,সালমান খান তোরে কয়জনে চিনে শালা বাইনচোদ তুই তো দুইদিনের নায়ক তোর ছবি কয়জনে দেখে,Negative
test_id_253,গরিবের মিয়া খলিফা,Negative
test_id_254,পরিতো নয় যেন মাগি,Negative
test_id_255,"সাফার নতুন নাটক,,,লিংক চাহিতা লজ্জা দিবেন নাহ",Negative
test_id_256,"মাঝ রাতে ধোনটা দাঁড়িয়ে গেলো, শরীরটাও ভালো নাই।এখন কি করবো বুঝতেছিনা",Negative
test_id_257,সম্পূর্ণ বানোয়াট কাহিনী যে এই নগ্ন কাহিনী সাজিয়েছে আল্লাহ তার বিচার করুক ।,Negative
test_id_258,খানকি মাগী তোর মুখে আল্লাহর নাম মানায়না।,Negative
test_id_259,সাফা মাগি তুই সানাই এর থেকেও বড় বেশ্যা,Negative
test_id_260,বাংলাদেশ ডিজিটাল হচ্ছে না।তসলিমা নাসরিনের মত কিছু বেইস্সা মাগি তৈরি হচ্ছে।,Negative
test_id_261,"তরে পাইলে একটা কুপ দেমু পুটকি পর্যন্ত নিয়া লাগামু,ডাক্তার দেখলে ভয় পাবে নিবুদা",Negative
test_id_262,কুকুর কে দু* খাওয়াচ্ছো নাকি,Negative
test_id_263,বৌদি লিংক হবে লিংক?,Negative
test_id_264,নতুন ব্যবসা শুরু করলি কবে,Negative
test_id_265,"আমি নিজেও জায়েদ বোকাচোদাকে চিনি না,সব চেয়ে বড় বেয়াদব জয়,",Negative
test_id_266,আরে খানকি মাগী রে,Negative
test_id_267,খানকিমাগী ফাক ফাক,Negative
test_id_268,জামালপুরের ডিসির পক্ষ থেকে অভিনন্দন,Negative
test_id_269,জারজ না হলে সাফা একা বের হও তোমারে ১০০০ করমু।,Negative
test_id_270,মুরগী চোর এর মেয়ে আর কি বলবো ফেসবুক হাই লাইট       জন্য হয়তো      ,Negative
test_id_271,তুমি শুধু আমার!!,Negative
test_id_272,ডয়চে ভেলে আজ থেকে আমার কাছে পতিতাদের চেয়ে নিকৃষ্ট মনে হচ্ছে।,Negative
test_id_273,"খোলা জানালা দিয়ে ঢুকবে তাহসান। খোলা দরজা দিয়ে ঢুকবে সৃজিত, খোলা ভ্যান্টিলেটর দিয়ে ঢুকবে ফাহামী।",Negative
test_id_274,"তুই আমার ক্রাশ ছিলি, তুই তো একটা মাগি",Negative
test_id_275,ডেলে দাও পরীমণি,Negative
test_id_276,মেয়েটাকে কুত্তা দিয়ে চুদাতে হবে,Negative
test_id_277,এত ন্যাকামি করে কথা বল কেন?আর এবনরমাল দের মতো কেন থাক নরমাল হতে পার না?,Negative
test_id_278,ভদ্রতা বজায় রাখুন।দয়া করে কেউ অশ্লীল কমেন্ট চুদাবেন্না।আমরা পরিস্থিতি নিয়ন্ত্রনে আনার চেস্টা করতেছি.সবাই বসে পড়েন।,Negative
test_id_279,এহন ফেসবুক আইডি বাঁচানোর জন্যে ফলোয়ার না কমার জন্যে এইগুলা বলতাছে,Negative
test_id_280,তকে চোদা দিতে আসলাম,Negative
test_id_281,খানকি হলে যা হয়,Negative
test_id_282,শাও   য়াই নতুন বা™™ল গজাইলে   ;কত কিছু বলতে মন চায় কা**ঃঃকী মাগী হিজাব কই,Negative
test_id_283,এই মাগি নাটক থেকে বাদ দেওয়া হক তোরে আমি হুগা মারমু,Negative
test_id_284,এটা তো পরি মনি না এটা হলো নেংটা মনি,Negative
test_id_285,মনডায় চায় শালীর পাছায় দুইটা সিরিজ কাগজ দিয়ে ঘষা দেই,Negative
test_id_286,তর মারে চুূদি,Negative
test_id_287,জুটির সাথে খেলাধুলাও হবে,Negative
test_id_288,সমস্ত কিছুই মালিক আমার আললাহ,Negative
test_id_289,কমেন্টে পাছা ঠাপানো হচ্ছে,Negative
test_id_290,ফেইসবুক প্রোফাইল হ্যাক করেছে বলে আল্লাহর কাছে বিচার দিলেন আপু????,Negative
